Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Persson,Stefan,N,1978,1986,D,73,189,December,22,1954,Sweden
Gillis,Jere,N,1978,1987,F,73,194,January,18,1957,USA
Bossy,Mike,Y,1978,1987,F,73,186,January,22,1957,Canada
Engblom,Brian,N,1978,1987,D,74,200,January,27,1955,Canada
Hughes,Pat,N,1978,1987,F,73,180,March,25,1955,Canada
Foster,Dwight,N,1978,1987,F,70,190,April,2,1957,Canada
Bannerman,Murray,N,1978,1987,G,71,185,April,27,1957,Canada
Maxwell,Brad,N,1978,1987,D,74,195,July,8,1957,Canada
McCarthy,Kevin,N,1978,1987,D,71,195,July,14,1957,Canada
Jackson,Don,N,1978,1987,D,75,210,September,2,1956,USA
Seiling,Ric,N,1978,1987,F,73,180,December,15,1957,Canada
Wilson,Ron,N,1978,1988,D,70,170,May,28,1955,Canada
Anderson,John,N,1978,1989,F,71,200,March,28,1957,Canada
Dunn,Richie,N,1978,1989,D,73,200,May,12,1957,USA
Duguay,Ron,N,1978,1989,F,74,200,July,6,1957,Canada
Picard,Robert,N,1978,1990,D,74,207,May,25,1957,Canada
Beck,Barry,N,1978,1990,D,75,216,June,3,1957,Canada
O'Connell,Mike,N,1978,1990,D,69,180,November,25,1955,USA
Hanlon,Glen,N,1978,1991,G,73,185,February,20,1957,Canada
DeBlois,Lucien,N,1978,1992,F,71,200,June,21,1957,Canada
Marois,Mario,N,1978,1992,D,71,190,December,15,1957,Canada
Wilson,Doug,N,1978,1993,D,73,187,July,5,1957,Canada
Taylor,Dave,N,1978,1994,F,73,190,December,4,1955,Canada
Gloeckner,Lorry,N,1979,1979,D,74,210,January,25,1956,Canada
Messier,Paul,N,1979,1979,F,73,185,January,27,1958,England
Meeker,Mike,N,1979,1979,F,71,195,February,23,1958,Canada
Lucas,Danny,N,1979,1979,F,73,197,February,28,1958,Canada
Taft,John,N,1979,1979,D,74,185,March,8,1954,USA
Krook,Kevin,N,1979,1979,D,71,187,April,5,1958,Canada
Ireland,Randy,N,1979,1979,G,73,165,April,5,1957,Canada
Lachance,Michel,N,1979,1979,D,73,190,April,11,1955,Canada
Skaare,Bjorn,N,1979,1979,F,73,180,October,29,1958,Norway
