FishID,Length,Weight
4539,57,2.332
3336,88,7.592
3287,79,5.922
4472,74,4.416
3919,68,3.841
1288,67,3.05
4109,75,4.812
4425,66,3.238
3858,69,3.675
5002,74,4.705
110,55,1.868
3748,62,2.714
4418,66,3.197
3600,62,2.943
1239,73,4.02
4970,76,4.662
3885,67,3.55
4192,60,2.567
3956,70,3.779
3579,57,2.117
3464,62,2.73
4407,62,2.755
13328,77,4.882
5005,70,3.501
4069,77,4.994
4070,84,6.433
4123,60,2.424
13422,72,3.629
4376,68,3.493
4080,69,3.164
3875,59,2.419
91,79,5.605
4292,66,3.152
3244,62,2.67
3209,84,6.544
1161,78,4.84
4519,86,6.154
3774,72,3.868
3896,78,5.441
4545,53,1.577
3269,73,4.023
1306,59,2.09
3177,77,5.199
4987,69,3.676
83,59,2.132
3251,78,5.359
3174,71,4.154
101,65,2.754
1187,75,4.47
3191,71,4.292
4574,72,4.163
3460,77,5.443
1271,69,3.49
13427,57,2.017
4006,74,4.715
3341,97,9.838
4320,65,3.155
4475,65,2.762
1357,65,2.79
3927,62,2.362
3271,55,1.896
3867,70,3.72
3456,86,7.391
4514,58,2.126
4039,72,4.354
17,80,5.246
3925,58,2.28
3396,80,6.078
3399,86,7.757
3352,94,9.488
3739,61,2.331
204,74,4.41
3309,79,5.224
3281,56,2.259
3949,75,4.737
4027,73,4.697
3655,77,5.321
3347,66,3.602
77,79,5.414
4420,68,3.698
3249,85,7.326
4316,67,3.443
3780,75,4.672
4572,79,6.139
4041,72,4.401
3403,74,4.518
149,74,3.989
1276,73,3.72
4611,70,3.921
97,77,5.146
3704,64,2.952
3737,66,2.96
3306,77,5.06
13084,87,6.962
4591,70,3.822
3298,66,2.814
4568,72,4.478
13072,78,5.593
4105,61,3.132
4521,59,2.158
186,71,4.489
16,68,3.107
3292,55,2.032
3444,80,6.163
3252,80,5.559
4045,70,4.094
3364,71,3.836
4363,62,2.971
13073,65,2.925
3295,60,2.514
4331,63,2.835
1280,75,5.06
4953,74,4.288
187,84,6.442
1180,74,4.13
4273,62,2.51
4532,53,1.609
4167,65,2.65
3587,75,4.593
1251,70,3.58
1282,84,6.35
1211,79,5.29
1299,69,3.56
1169,74,3.95
13069,71,3.866
4367,65,3.372
1284,83,6.38
3279,54,1.849
4036,68,3.59
13178,68,3.335
3484,92,9.664
4466,81,5.539
3201,54,1.789
13406,65,2.543
13056,77,4.747
4608,65,2.928
3730,67,3.364
3578,59,2.296
3760,59,2.164
4328,87,6.735
3285,71,4.173
3738,64,2.966
4945,68,3.601
4495,69,3.704
3246,56,2.217
3223,77,5.25
4993,64,2.784
3691,72,4.304
3805,69,3.485
10,80,5.35
3575,64,2.848
3353,76,5.214
3365,83,7.006
3784,73,4.018
4340,68,3.488
4201,62,3.058
4596,76,5.095
4438,64,3.014
43,73,4.337
160,76,4.495
4980,66,3.234
3692,86,7.782
3349,55,1.955
3261,72,4.605
4346,73,4.232
4577,63,2.804
3588,62,2.99
4979,68,3.46
13349,60,2.122
4120,62,2.586
3660,95,10.18
4284,65,3.105
4551,87,7.629
4075,70,3.599
1359,68,3.74
4852,66,2.978
13061,78,5.078
5006,63,2.69
4599,62,2.646
4262,71,4.004
4584,69,3.405
4384,66,3.3
1162,67,3.95
3243,57,1.95
3168,63,2.824
3890,61,2.679
4468,72,4.237
117,73,4.374
13,75,4.98
4018,67,3.223
1270,73,3.97
199,75,4.867
4181,51,1.505
4291,64,3.129
1156,78,4.94
13403,60,2.504
4860,72,3.951
4389,62,2.876
4115,71,3.857
4008,69,3.642
4500,71,3.869
1243,66,3.7
3,71,3.933
3926,68,3.255
1153,78,4.97
3187,62,2.759
3255,56,1.961
3910,70,3.737
4477,71,3.141
4464,65,3.358
1269,73,4.25
4606,66,3.202
3277,58,2.557
1278,73,4.2
3595,62,2.829
4415,72,4.493
13409,66,3.073
3380,69,3.761
4007,67,3.538
4024,80,5.839
3273,53,1.791
4148,58,1.915
4454,66,3.297
4188,50,1.352
13338,75,5.236
3294,54,1.787
3308,60,2.586
3680,70,4.273
109,64,2.699
4113,59,2.271
84,64,2.854
1297,78,5.47
3889,70,3.797
3276,79,6.133
4469,55,1.696
4012,78,5.638
3487,95,9.563
3410,75,5.22
114,59,2.339
4268,65,2.974
13325,85,5.885
3423,61,2.469
4581,64,3.096
116,56,1.945
156,71,3.814
4246,65,3.02
3407,51,1.41
4238,56,1.821
1274,66,3.29
4184,60,2.405
4607,62,2.954
1186,70,3.5
13336,63,2.743
4592,77,4.858
3186,70,4.161
1323,67,3.17
3303,95,9.926
3853,90,7.586
4618,67,3.47
3236,66,3.168
4082,62,2.607
3418,60,2.343
4853,64,2.882
4482,75,4.994
3192,80,5.478
3786,71,3.79
3709,71,3.694
4119,63,2.654
3978,75,4.642
3574,66,3.19
13428,58,2.306
3339,81,6.066
4587,62,2.753
4314,65,3.085
4582,63,2.46
13158,92,8.681
1317,76,4.47
13315,85,7.439
4833,56,2.291
4565,77,5.215
3215,64,2.958
4561,57,1.886
1195,70,3.69
3402,76,4.91
3430,54,1.766
4570,70,4.301
3368,65,3.357
5004,74,4.777
3405,80,5.803
3656,82,6.306
1378,75,4.211
3837,74,4.765
13402,82,5.6
31,74,4.229
4206,63,3.128
118,76,4.83
1381,75,4.81
4223,59,2.211
4437,64,2.823
3855,82,5.827
4057,76,4.667
3320,75,4.534
13068,62,2.486
4171,64,2.817
4499,69,3.331
201,80,5.906
4392,69,3.4
1321,66,2.81
4142,55,1.799
4199,53,1.997
3928,57,2.092
3175,77,4.777
3220,75,5.038
3687,70,4.231
4530,53,1.544
3724,61,2.59
13345,66,3.294
3584,68,3.214
4250,55,1.848
4567,65,2.998
13057,85,5.55
4014,73,5.131
3288,79,5.709
1171,68,3.46
1339,71,3.44
1256,63,2.62
4019,81,6.12
4422,57,2.021
4020,80,5.943
3370,79,5.606
1241,74,4.22
3458,93,9.174
4423,79,4.949
4003,73,4.576
152,72,3.869
48,81,5.417
13418,73,4.055
13066,77,5.022
3690,80,5.997
4104,61,2.362
44,62,2.599
3422,63,2.74
3593,59,2.299
4245,55,1.736
36,71,3.714
1372,65,3.37
4028,75,4.82
13085,85,6.575
4219,59,2.305
3227,69,2.478
3716,73,4.693
3679,79,5.872
13322,83,5.975
4403,65,2.95
4554,72,4.286
4984,57,2.109
1226,64,2.68
4569,66,3.292
4801,67,3.496
3360,87,6.965
3675,72,4.031
3173,75,5.122
4364,63,2.69
19,73,3.971
13426,55,1.919
1318,64,2.59
134,71,3.985
3901,70,3.836
68,84,7.178
3990,77,5.015
3836,68,3.901
4126,60,2.426
3280,79,5.725
4966,66,2.92
3362,63,3.126
3781,85,7.233
3666,65,3.12
3793,66,3.251
4327,60,2.686
3388,84,6.852
1183,85,5.7
4374,80,5.685
3398,62,2.781
12,72,3.801
1336,73,4.28
4491,69,3.082
13169,75,4.721
3335,77,5.472
3427,80,5.654
1250,64,2.78
4409,63,2.895
3170,92,8.937
3813,80,6.531
3476,56,1.963
86,76,5.115
4251,52,2.112
4622,64,3.312
73,75,4.389
13430,61,2.457
161,76,4.748
3462,96,9.322
3754,64,2.899
3676,76,4.79
4564,64,2.759
4163,52,1.55
4295,66,3.572
4107,72,5.315
3771,90,7.948
1181,76,4.68
1365,94,9.17
1376,77,4.76
3909,70,3.814
4147,56,2.017
4269,66,3.248
3284,78,5.326
4616,72,4.428
4807,60,2.552
1292,76,5.11
3424,66,3.39
4307,72,4.547
4991,65,2.897
4319,74,4.737
3477,59,2.14
3722,82,6.265
5010,70,3.755
3264,54,1.847
3212,75,5.366
106,69,3.411
3401,68,2.694
25,78,4.669
13080,77,5.64
190,75,4.367
3733,67,2.923
3859,71,4.097
3210,75,4.997
1327,72,4.11
4025,74,4.666
4958,67,2.89
3710,63,2.794
13159,85,6.883
1200,57,1.79
4261,89,7.368
13431,56,1.966
3940,69,3.88
4266,70,3.416
13153,81,5.171
1304,75,4.98
3835,88,8.197
82,67,3.176
4803,62,2.472
4040,70,4.013
4130,60,2.331
4030,67,3.354
122,63,2.651
4191,72,4.22
4516,55,1.609
3310,58,2.043
3803,66,3.104
4088,61,2.568
3662,70,3.837
4494,65,2.913
3214,74,4.494
3289,57,2.341
3911,70,3.948
1300,56,2
4365,63,2.912
4507,80,4.65
13182,63,2.607
4232,51,1.449
1157,81,5.66
4976,63,3.155
4382,66,3.134
4004,69,3.493
1370,60,2.02
4345,65,3.264
