"location","date","hour","minute","level","time"
1612404,20110602,11,54,0.32,1.49583333333333
1612404,20110602,12,0,0.34,1.5
1612404,20110602,12,6,0.35,1.50416666666667
1612404,20110602,12,12,0.36,1.50833333333333
1612404,20110602,12,18,0.38,1.5125
1612404,20110602,12,24,0.39,1.51666666666667
1612404,20110602,12,30,0.4,1.52083333333333
1612404,20110602,12,36,0.42,1.525
1612404,20110602,12,42,0.43,1.52916666666667
1612404,20110602,12,48,0.44,1.53333333333333
1612404,20110602,12,54,0.45,1.5375
1612404,20110602,13,0,0.46,1.54166666666667
1612404,20110602,13,6,0.47,1.54583333333333
1612404,20110602,13,12,0.48,1.55
1612404,20110602,13,18,0.49,1.55416666666667
1612404,20110602,13,24,0.49,1.55833333333333
1612404,20110602,13,30,0.5,1.5625
1612404,20110602,13,36,0.51,1.56666666666667
1612404,20110602,13,42,0.51,1.57083333333333
1612404,20110602,13,48,0.52,1.575
1612404,20110602,13,54,0.52,1.57916666666667
1612404,20110602,14,0,0.52,1.58333333333333
1612404,20110602,14,6,0.52,1.5875
1612404,20110602,14,12,0.52,1.59166666666667
1612404,20110602,14,18,0.52,1.59583333333333
1612404,20110602,14,24,0.52,1.6
1612404,20110602,14,30,0.52,1.60416666666667
1612404,20110602,14,36,0.52,1.60833333333333
1612404,20110602,14,42,0.52,1.6125
1612404,20110602,14,48,0.51,1.61666666666667
1612404,20110602,14,54,0.51,1.62083333333333
1612404,20110602,15,0,0.5,1.625
1612404,20110602,15,6,0.5,1.62916666666667
1612404,20110602,15,12,0.49,1.63333333333333
1612404,20110602,15,18,0.48,1.6375
1612404,20110602,15,24,0.47,1.64166666666667
1612404,20110602,15,30,0.46,1.64583333333333
1612404,20110602,15,36,0.45,1.65
1612404,20110602,15,42,0.44,1.65416666666667
1612404,20110602,15,48,0.43,1.65833333333333
1612404,20110602,15,54,0.42,1.6625
1612404,20110602,16,0,0.4,1.66666666666667
1612404,20110602,16,6,0.39,1.67083333333333
1612404,20110602,16,12,0.37,1.675
1612404,20110602,16,18,0.36,1.67916666666667
