"grad4","grad6","cohort","name","control","endow","medSAT","fulltime","fulltimefac","pell"
51.4,78,177,"Indiana University at Bloomington","Public",17834,1184,95.6,92,4
86,91.7,121,"University of Notre Dame","Private not-for-profit",466966,1428,99.7,93,3
0,0,21,"Vincennes University","Public",3191,NA,41.8,2,27
80,80,25,"Grinnell College","Private not-for-profit",779319,1343,97.2,93,13
38,69.8,129,"Iowa State University","Public",18280,1153,95.1,90,16
36.4,65.6,151,"University of Iowa","Public",35946,1171,90.1,93,4
34.4,61.3,163,"University of Kansas","Public",41012,1130,90,76,8
19.5,58.5,41,"Kansas State University","Public",13694,NA,88.7,92,17
21.2,50.6,85,"Wichita State University","Public",16426,1091,70.5,52,39
26.5,50,68,"University of Kentucky","Public",32268,1143,91.8,81,12
26.3,50.9,57,"University of Louisville","Public",35527,1131,77.8,52,26
23.1,55.9,143,"Louisiana State University at Baton Rouge","Public",13824,1169,93.5,95,6
26.3,44.7,38,"Loyola University New Orleans","Private not-for-profit",56842,1209,90.6,77,36
7.3,26.6,109,"University of New Orleans","Public",1825,1032,75.9,84,43
18.4,44.7,38,"University of Louisiana at Lafayette","Public",4049,1030,84.3,85,32
59,71.1,83,"Tulane University","Private not-for-profit",74132,1337,77.3,63,13
88.9,92.1,63,"Bowdoin College","Private not-for-profit",430832,1403,99.6,91,8
92.6,92.6,27,"Colby College","Private not-for-profit",251289,1329,100,85,1
34.6,53.8,26,"University of Maine","Public",5712,1061,84.4,67,37
9.5,52.4,21,"Frostburg State University","Public",2764,968,93.4,56,46
86.1,93.6,251,"Johns Hopkins University","Private not-for-profit",110647,1390,98.3,88,5
22.3,48.2,301,"University of Maryland-Baltimore County","Public",4473,1205,86.5,71,17
62.8,86.6,559,"University of Maryland at College Park","Public",11032,1290,92.3,75,5
75,78.6,28,"Maryland Institute College of Art","Private not-for-profit",28638,1160,92,40,16
32,56,25,"Salisbury University","Public",4332,1127,92.2,54,9
20.2,54.5,99,"Towson University","Public",1935,1074,88.8,30,9
71,71,69,"United States Naval Academy","Public",1350,1254,100,87,NA
26.1,47.8,23,"Stevenson University","Private not-for-profit",14480,966,82.5,17,27
88.1,97,67,"Amherst College","Private not-for-profit",789599,1433,100,92,23
100,100,25,"Babson College","Private not-for-profit",57875,1284,100,66,12
88.3,96.7,60,"Bentley University","Private not-for-profit",36586,1209,96.5,66,8
50,68.2,22,"Berklee College of Music","Private not-for-profit",46182,NA,91.4,39,14
85.3,90.4,197,"Boston College","Private not-for-profit",132982,1344,96.9,67,4
79.9,84.1,572,"Boston University","Private not-for-profit",32567,1260,92.3,70,5
78.9,82.5,57,"Brandeis University","Private not-for-profit",98774,1344,99.3,72,12
13.6,45.5,22,"Bridgewater State College","Public",1258,1020,83.5,20,7
54.8,64.5,31,"Clark University","Private not-for-profit",73925,1194,95.7,75,18
70.3,75.7,37,"Emerson College","Private not-for-profit",25066,1240,91.8,34,9
88.7,99.6,248,"Harvard University","Private not-for-profit",1103930,1477,70.7,84,2
80,90,40,"College of the Holy Cross","Private not-for-profit",167842,NA,98.7,87,8
26.2,46.2,65,"University of Massachusetts at Lowell","Public",3569,1085,72.1,17,21
45.9,66.3,320,"University of Massachusetts at Amherst","Public",7032,1161,92.7,82,20
11.2,53.3,107,"University of Massachusetts at Boston","Public",3648,1010,68.9,26,51
92.9,97.5,281,"Massachusetts Institute of Technology","Private not-for-profit",809393,1485,98.9,92,17
72.1,83.6,61,"Mount Holyoke College","Private not-for-profit",212414,NA,98,83,21
0,79.5,195,"Northeastern University","Private not-for-profit",20299,1313,86.1,42,6
11.4,45.7,35,"Salem State University","Public",1369,992,76.6,16,31
51.3,66.7,39,"Simmons College","Private not-for-profit",30,1098,89.1,33,21
76.8,82.9,82,"Smith College","Private not-for-profit",396038,NA,99.3,86,30
